Title,Call Number,Part(s),Year,Date Range,Date 1,Date 2,Date 3,Barcode 1,Barcode 2,Barcode 3,Notes 1,Notes 2,Leader,003,007,008
Continuum,DAT CU 330,,2001,2001 October 27,2001 October 27,,,31924119825440,,,composers' readings,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Hamburg festival,DAT CU 331,,2001,2001 November 1,2001 November 1,,,31924119825457,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Hamburg festival,DAT CU 332,,2001,2001 November 2,2001 November 2,,,31924119825465,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony,DAT CU 333,,2001,2001 November 3,2001 November 3,,,31924119825473,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 334,,2001,2001 November 5,2001 November 5,,,31924119825481,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Percussion Ensembles,DAT CU 335,,2001,2001 November 11,2001 November 11,,,31924119825499,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Vera Beths, violin, Anner Bylsma, cello, Malcolm Bilson, fortepiano",DAT CU 336,,2001,2001 November 15,2001 November 15,,,31924119825507,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 337,,2001,2001 November 17,2001 November 17,,,31924119825515,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lars Haugbro, fortepiano",DAT CU 338,,2001,2001 November 18,2001 November 18,,,31924119825523,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Constance Dunlap,DAT CU 339,,2001,2001 November 19,2001 November 19,,,31924119825531,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 340,,2001,2001 November 19,2001 November 19,,,31924119825549,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Miri Yampolsky and Xak Bjerken, pianos",DAT CU 341,,2001,2001 November 26,2001 November 26,,,31924119825556,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 342,,2001,2001 November 27,2001 November 27,,,31924119825564,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 343,,2001,2001 December 1,2001 December 1,,,31924119825572,,,2:00PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 344,,2001,2001 December 1,2001 December 1,,,31924119825580,,,8:00PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 345,,2001,2001 December 2,2001 December 2,,,31924119825598,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Judith Kellock,DAT CU 346,,2001,2001 December 7,2001 December 7,,,31924119825606,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 347,,2001,2001 December 8,2001 December 8,,,31924119825614,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cayuga Winds,DAT CU 348,,2002,2002 January 26,2002 January 26,,,31924119825622,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gary Moulsdale, tenor",DAT CU 349,,2002,2002 January 27,2002 January 27,,,31924119825630,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Susie Kelly String Quartet,DAT CU 350,,2002,2002 January 29,2002 January 29,,,31924119825648,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lisa Leong, piano",DAT CU 351,,2002,2002 January 31,2002 January 31,,,31924119825655,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"John Nam, jazz piano",DAT CU 352,,2002,2002 February 2,2002 February 2,,,31924119825663,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Edward Swenson, tenor, Augustus Arnone, piano",DAT CU 353,,2002,2002 February 3,2002 February 3,,,31924119825671,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Tina Chancey, pardessus de viole, Webb Wiggins, clavecin",DAT CU 354,,2002,2002 February 4,2002 February 4,,,31924119825689,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Fourth annual Mozart's birthday concert,DAT CU 355,,2002,2002 February 8,2002 February 8,,,31924119825697,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Fourth annual Mozart's birthday concert,DAT CU 356,,2002,2002 February 9,2002 February 9,,,31924119825705,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"James Armstrong and Conrad Alexander, percussion",DAT CU 357,,2002,2002 February 10,2002 February 10,,,31924119825713,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Christopher Andrew Arrell,DAT CU 358,,2002,2002 February 13,2002 February 13,,,31924119825721,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Love songs for Valentine's Day,DAT CU 359,,2002,2002 February 14,2002 February 14,,,31924119825739,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Tempesta di Mare,DAT CU 360,,2002,2002 February 15,2002 February 15,,,31924119825747,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 361,,2002,2002 February 16,2002 February 16,,,31924119825754,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Heidi Hoffman, cello, Xak Bjerken, piano, Richard Faria, clarinet",DAT CU 362,,2002,2002 February 18,2002 February 18,,,31924119825762,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"William Hite, tenor, Malcolm Bilson, fortepiano",DAT CU 363,,2002,2002 February 21,2002 February 21,,,31924119825770,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gabor Csalog, piano",DAT CU 364,,2002,2002 February 24,2002 February 24,,,31924119825788,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Nicholas Mathew,DAT CU 365,,2002,2002 February 27,2002 February 27,,,31924119825796,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Constance M. Dunlap, soprano, Jason J. Wang, tenor, Blaise Bryski, piano",DAT CU 366,,2002,2002 March 1,2002 March 1,,,31924119825804,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Rebecca Marques, soprano, Blaise Bryski, piano",DAT CU 367,,2002,2002 March 3,2002 March 3,,,31924119825812,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"James Armstrong, percussion, Kia-Hui Tan, violin",DAT CU 368,,2002,2002 March 3,2002 March 3,,,31924119825820,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Violin/viola student recital,DAT CU 369,,2002,2002 March 7,2002 March 7,,,31924119825838,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 370,,2002,2002 March 9,2002 March 9,,,31924119825846,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 371,,2002,2002 March 9,2002 March 9,,,31924119825853,,,safety copy,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 372,,2002,2002 March 10,2002 March 10,,,31924119825861,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ittai Shapira, violin, Zvi Plesser, cello, Miri Yampolsky, piano",DAT CU 373,,2002,2002 March 11,2002 March 11,,,31924119825879,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Geoffrey Govier, fortepiano",DAT CU 374,,2002,2002 March 13,2002 March 13,,,31924119825887,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sara Lozyniak, soprano, Blaise Bryski, piano",DAT CU 375,,2002,2002 March 14,2002 March 14,,,31924119825895,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano, Richard Faria, clarinet, Malcolm Bilson, fortepiano",DAT CU 376,,2002,2002 March 25,2002 March 25,,,31924119825903,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Kaleidos Ensemble,DAT CU 377,,2002,2002 March 28,2002 March 28,,,31924119825911,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 378,,2002,2002 March 30,2002 March 30,,,31924119825929,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Dee-Pong Lu, piano",DAT CU 379,,2002,2002 April 1,2002 April 1,,,31924119825937,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 380,,2002,2002 April 6,2002 April 6,,,31924119825945,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Festival Chamber Orchestra,DAT CU 381,,2002,2002 April 6,2002 April 6,,,31924119825952,,,rehearsal,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Augustus Arnone, fortepiano",DAT CU 382,,2002,2002 April 7,2002 April 7,,,31924119825960,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 383,,2002,2002 April 7,2002 April 7,,,31924119825978,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Gary Moulsdale, tenor",DAT CU 384,,2002,2002 April 8 ,2002 April 8 ,,,31924119825986,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Annette Richards, organ",DAT CU 385,,2002,2002 April 9,2002 April 9,,,31924119825994,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Eri Konii, violin, Geoffrey Govier, piano",DAT CU 386,,2002,2002 April 10,2002 April 10,,,31924119826000,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Linda Ann Marianiello, baroque and modern flutes, Mitchell Vines, piano and harpsichord",DAT CU 387,,2002,2002 April 12,2002 April 12,,,31924119826018,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 388,,2002,2002 April 13 ,2002 April 13 ,,,31924119826026,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"David Yearsley, organ",DAT CU 389,,2002,2002 April 16,2002 April 16,,,31924119826034,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 390,,2002,2002 April 18,2002 April 18,,,31924119826042,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 391,,2002,2002 April 20,2002 April 20,,,31924119826059,,,1:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 392,,2002,2002 April 20,2002 April 20,,,31924119826067,,,8:00 PM,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Chorale,DAT CU 393,,2002,2002 April 21,2002 April 21,,,31924119826075,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Daria Dobrochna Kwiatkowska, composer",DAT CU 394,,2002,2002 April 22,2002 April 22,,,31924119826083,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 395,,2002,2002 April 23,2002 April 23,,,31924119826091,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Guest Monica Huggett, violin, Malcolm Bilson, fortepiano",DAT CU 396,,2002,2002 April 24,2002 April 24,,,31924119826109,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Les Petits Violons de Cornell,DAT CU 397,,2002,2002 April 25,2002 April 25,,,31924119826117,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Trombone Choir,DAT CU 398,,2002,2002 April 27,2002 April 27,,,31924119826125,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Cornell Symphony Orchestra, Cornell University Chorus and Glee Club",DAT CU 399,,2002,2002 April 27,2002 April 27,,,31924119827636,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Percussion Ensemble,DAT CU 400,,2002,2002 April 28,2002 April 28,,,31924119826133,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Brahms chamber music recital ,DAT CU 401,,2002,2002 April 28,2002 April 28,,,31924119826141,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 402,,2002,2002 April 29,2002 April 29,,,31924119826158,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 403,,2002,2002 April 30,2002 April 30,,,31924119826166,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Major music concert,DAT CU 404,,2002,2002 April 30,2002 April 30,,,31924119826174,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 405,,2002,2002 May 4,2002 May 4,,,31924119826182,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 406,,2002,2002 May 5,2002 May 5,,,31924119826190,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Sage Chapel Choir,DAT CU 407,,2002,2002 May 6,2002 May 6,,,31924119826208,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 408,,2002,2002 May 7,2002 May 7,,,31924119826216,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Judith Kellock,DAT CU 409,,2002,2002 May 8,2002 May 8,,,31924119826224,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lars Haugbro, fortepiano",DAT CU 410,,2002,2002 May 12,2002 May 12,,,31924119826232,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Zvi Meniker, harpsichord",DAT CU 411,,2002,2002 September 3,2002 September 3,,,31924119826240,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano",DAT CU 412,,2002,2002 September 13,2002 September 13,,,31924119826257,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Ensemble X,DAT CU 413,,2002,2002 September 21,2002 September 21,,,31924119826265,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Taliesin Trio,DAT CU 414,,2002,2002 October 5,2002 October 5,,,31924119826273,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Robert Horton, organ",DAT CU 415,,2002,2002 October 6,2002 October 6,,,31924119826281,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 416,,2002,2002 October 19,2002 October 19,,,31924119826299,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Contemporary Chamber Players,DAT CU 417,,2002,2002 October 20,2002 October 20,,,31924119826307,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"James Armstrong and Travis Knepper, percussion",DAT CU 418,,2002,2002 October 22,2002 October 22,,,31924119826315,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Jeffrey Briggs, guitar",DAT CU 419,,2002,2002 October 24,2002 October 24,,,31924119826323,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony,DAT CU 420,,2002,2002 October 26,2002 October 26,,,31924119826331,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan, violin, Malcolm Bilson, piano",DAT CU 421,,2002,2002 October 27,2002 October 27,,,31924119826349,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Andre Allavena, violin, David Kempe, piano",DAT CU 422,,2002,2002 October 30,2002 October 30,,,31924119826356,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Halloween organ concert,DAT CU 423,,2002,2002 October 31,2002 October 31,,,31924119826364,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Judith Kellock, soprano, Arlene Shrut, piano",DAT CU 424,,2002,2002 November 3,2002 November 3,,,31924119826372,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cassatt String Quartet,DAT CU 425,,2002,2002 November 8,2002 November 8,,,31924119826380,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
New work 2002,DAT CU 426,,2002,2002 November 9,2002 November 9,,,31924119826398,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student compositions Cassatt String Quartet,DAT CU 427,1-2,2002,"20020 November 9, 2002 November 9",20020 November 9,2002 November 9,,31924119826414,31924119826406,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Middle Eastern Music Ensemble,DAT CU 428,,2002,2002 November 14,2002 November 14,,,31924119826422,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Percussion Ensembles,DAT CU 429,,2002,2002 November 15,2002 November 15,,,31924119826430,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Orchestra,DAT CU 430,,2002,2002 November 16,2002 November 16,,,31924119826448,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Ansi Karttunen, celo, Magnus Lindberg, piano",DAT CU 431,,2002,2002 November 17,2002 November 17,,,31924119826455,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 432,,2002,2002 November 18,2002 November 18,,,31924119826463,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Studio 342,DAT CU 433,,2002,2002 November 21,2002 November 21,,,31924119826471,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 434,,2002,2002 November 22,2002 November 22,,,31924119826489,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Jazz Ensembles,DAT CU 435,1-2,2002,"2002 November 23, 2002 November 23",2002 November 23,2002 November 23,,31924119826497,31924119826505,,1:00 PM,8:00 PM,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chamber Singers,DAT CU 436,,2002,2002 November 24,2002 November 24,,,31924119826513,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Student chamber music recital,DAT CU 437,,2002,2002 December 2,2002 December 2,,,31924119826521,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Americans in Paris organ series: Annette Richards,DAT CU 438,,2002,2002 December 3,2002 December 3,,,31924119826539,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Students of Xak Bjerken,DAT CU 439,,2002,2002 December 4,2002 December 4,,,31924119826547,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Chorale,DAT CU 440,,2002,2002 December 6,2002 December 6,,,31924119826554,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Symphony Orchestra,DAT CU 441,,2002,2002 December 7,2002 December 7,,,31924119826562,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Symphony and Chamber Winds,DAT CU 442,,2002,2002 December 8,2002 December 8,,,31924119826570,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Sage Chapel Christmas Program,DAT CU 443,,2002,2002 December 8,2002 December 8,,,31924119826588,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Sage Chapel Christmas Program,DAT CU 444,,2002,2002 December 9,2002 December 9,,,31924119826596,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
String quartet readings,DAT CU 445,1-2,2002,"2002 December 9, 2002 December 9",2002 December 9,2002 December 9,,31924119826604,31924119826612,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell Gamelan Ensemble,DAT CU 446,,2002,2002 December 11,2002 December 11,,,31924119826620,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Jennifer Davison, soprano, Xak Bjerken, piano",DAT CU 447,,2003,2003 January 23,2003 January 23,,,31924119826638,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Augustus Arnone, fortepiano, Elizabeth Lindau, harpsichord",DAT CU 448,,2003,2003 January 31,2003 January 31,,,31924119826646,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Blaise Bryski, fortepiano",DAT CU 449,,2003,2003 February 3,2003 February 3,,,31924119826653,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Lee Wright, organ",DAT CU 450,,2003,2003 February 7,2003 February 7,,,31924119826661,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University jazz instructors,DAT CU 451,,2003,2003 February 14,2003 February 14,,,31924119826679,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Matthew Bengston, piano, Blanka Bednarz, violin",DAT CU 452,,2003,2003 February 16,2003 February 16,,,31924119826687,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Kia-Hui Tan, violin, Xak Bjerken, piano",DAT CU 453,,2003,2003 February 21,2003 February 21,,,31924119826695,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Sydney de Lapeyrouse, soprano, Kathy Hansen, piano",DAT CU 454,,2003,2003 March 3,2003 March 3,,,31924119826703,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Guest chamber music recital,DAT CU 455,,2003,2003 March 4,2003 March 4,,,31924119826711,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
"Louis Bagger, harpsichord",DAT CU 456,,2003,2003 March 6,2003 March 6,,,31924119826729,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Wind Ensemble,DAT CU 457,,2003,2003 March 8,2003 March 8,,,31924119826737,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
Cornell University Symphonic Band,DAT CU 458,,2003,2003 March 9,2003 March 9,,,31924119826745,,,,,01947njm a22004452i 4500,NIC,ss#zunuuuipned,170403sYYYY####nyu##uu###########n#zxx#d
