ID Number,Kaltura ID,Accession Number,Title,Description,Filename
AFR_video_173_6,1_olnp0izm,2664804,"Africana Studies Paradigm Tape 6- 5/10/86, Howard Dodson; William Strickland; Ron Walters; Maulana Karenga",Howard Dodson; William Strickland; Ron Walters; Maulana Karenga,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_6.mp4
AFR_video_173_7,1_2duh2qyx,2664804,"Africana Studies Paradigm Tape 7- 5/10/86, Dinner Presentations for the Tribute to James E. Turner and Entertainment: The Harambee Singers",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_7.mp4
AFR_video_173_8,1_9ykixhgr,2664804,"Africana Studies Paradigm Tape 8- 5/10/86, Dinner Presentations for the Tribute to James E. Turner and Entertainment: The Harambee Singers",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_173_8.mp4
AFR_video_182,1_9l6ph9rb,2664965,The Challenge of directing Afro-American Studies in private schools: two personal experiences,"Roy S. Bryce-Laporte, director/African & Hispanic Studies Program/Colgate University",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_182.mp4
AFR_video_211,1_ce5bwi33,,Intelligence Testing and Racial Bias,"Constance Graham, Ph.D.",http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_211.mp4
AFR_video_222,1_c48g6emq,2769224,Gloria Naylor: The evolution of a writer's voice,Gloria Naylor,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_222.mp4
AFR_video_225,1_erqz6bjz,2769206,"Bobby Seale & Imari Obadele, 9/30/87 TWSPB",Bobby Seale; Imari Obadele,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_225.mp4
AFR_video_226,1_4opizote,2769247,"The Intellectual Odyssey of John Hope Franklin: Lecture by John Blassingame. Ithaca, NY: Cornell University, Africana Studies and Research Center, 1988.",John Blassingame,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_226.mp4
AFR_video_233_1,1_71j7s3cy,2820402,"Joseph E. Holloway Videotape Collection: Interview with Leroy Brown, 1st Black elected to office since Reconstruction; interview with Dan Watson on Gullah heritage",Leroy Brown; Dan Watson,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_1.mp4
AFR_video_233_10,1_kyx60idu,2820402,"Joseph E. Holloway Videotape Collection: Africanism and Gullah Culture, 7th Annual Celebration; Spirituals and Folklore, Nov. 14, 1987",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_10.mp4
AFR_video_233_11,1_4xm96iuk,2820402,"Joseph E. Holloway Videotape Collection: Africanisms and Gullah Culture, 7th Annual Penn School Heritage Celebration, Nov. 14, 1987",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_11.mp4
AFR_video_233_12,1_6v13333s,2820402,"Joseph E. Holloway Videotape Collection: Africanism and Gullah Culture, 9th Annual Heritage Day Celebration, Nov. 9-11, 1989",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_12.mp4
AFR_video_233_2,1_7dlu8qkb,2820402,Joseph E. Holloway Videotape Collection: Interview with Dan Watson on Gullah heritage; Interview with Rev. Ervin Greene on Africanism in the Gullah heritage,Dan Watson; Ervin Greene,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_2.mp4
AFR_video_233_3,1_r6ewgh7v,2820402,"Joseph E. Holloway Videotape Collection: Interview with the Chief of Oyotunji-Sheldon, South Carolina",Chief of Oyotunji-Sheldon,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_3.mp4
AFR_video_233_4,1_7u3biwbt,2820402,Joseph E. Holloway Videotape Collection: Interview with Claude and Pat Sharpe (linguist) Gullah Translation of the Bible; Coffin Point Graveyard; Ron Daise- Oral History/Folklore,Claude Sharpe; Pat Sharpe; Ron Daise,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_4.mp4
AFR_video_233_6,1_f5ueecz8,2820402,Joseph E. Holloway Videotape Collection: Oyotunji Interviews; Chief Alagba on New World Africanisms,Oyotunji; Chief Alagba,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_6.mp4
AFR_video_233_7,1_w83woruo,2820402,Joseph E. Holloway Videotape Collection:Africanisms--Coiled Baskets (Gullah) Gravesites--Slides on Video,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_7.mp4
AFR_video_233_8,1_w7gdgquh,2820402,"Joseph E. Holloway Videotape Collection: New Orleans (Kongo Square); Africa House; Uylses S. Davis, Wood Carber: Interview with W.W. Law on History of Africans in Georgia",W.W. Law,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_8.mp4
AFR_video_233_9,1_u6efzee9,2820402,"Joseph E. Holloway Videotape Collection: 8th Annual Heritage Folklore Out Gospel Music, Nov. 11, 1987--Part 2",,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_233_9.mp4
AFR_video_236,1_d20nlef6,2800642,"A discussion of Black feminist literature, Maulana Karenga",Maulana Karenga,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_236.mp4
AFR_video_249_1,1_h0jat4w8,2830172,"My Search for Africa--part 1, John Henrik Clarke 3-27-90",John Henrik Clarke,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_249_1.mp4
AFR_video_249_2,1_cgk5zj89,2830172,"My Search for Africa--part 2, John Henrik Clarke 3-28-90",John Henrik Clarke,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_249_2.mp4
AFR_video_249_3,1_rtyqfmg5,2830172,"My Search for Africa--part 3, John Henrik Clarke 3-27-90",John Henrik Clarke,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_249_3.mp4
AFR_video_250,1_mrag4s4z,2755704,Parental Advocacy and Black Student Achievement in the Ithaca School System,Lucy Brown,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_250.mp4
AFR_video_260,1_uqkzd2bu,2830179,The Afroasiatic Roots of Greek Civilization Their Denial: A Lecture by Martin Bernal,Martin Bernal,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_260.mp4
AFR_video_264,1_ep0mhlyg,2894288,"Culture, Struggle and A Challenge of History",Maulana Karenga,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_264.mp4
AFR_video_275,1_b9u27wdv,2917311,"""Tracking in Education"" AS&RC Spring 1996 Colloquium Series",Don Barr,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_275.mp4
AFR_video_278,1_cj8ds2gz,2830184,Haitian Conference Symposium,,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_278.mp4
AFR_video_294,1_n7e7ltkf,2944472,5th Annual State of Black America Conference:[Sobu] to the Present part II,Nelson Johnson,http://digitalmedia.library.cornell.edu/kaltura/Africana/AFR_video_294.mp4
